wdpaid|name|the_geom
325|Guatopo|0101000020E6100000CAA4CA4DD6A250C0904C4F58E2292440
370|Werrikimbe|0101000020E61000002DFCBBB9D8076340C050FF931E363FC0
371|Dharug|0101000020E6100000809EFD7711E2624070550EFD98B040C0
327|El Avila|0101000020E61000007CE29D9AE3A950C030F19D98F5122540
332|Terepaima|0101000020E610000097033A14C95251C03030815B77C32340
333|El Guácharo|0101000020E6100000B0EC8FEF35CD4FC0E088EFC4AC572440
334|Macarao|0101000020E6100000BE7447AE72C750C080D97745F0B72440
335|Yacambú|0101000020E61000008CDAB7BB655D51C0708AC8B08A672340
372|Ben Boyd|0101000020E61000006A136DED8BBF624030672613559742C0
328|Península de Paria|0101000020E6100000CB39D40B39324FC01086C954C1602540
330|Yurubí|0101000020E6100000C47770D4E82D51C090C18BBE82DC2440
339|Estero de Chiriguare|0101000020E61000009AB4BBBDB92C51C0D006D3307C0C2140
340|Cuare|0101000020E6100000BCF082A62B1351C0E0ECFAAC82C92540
342|Virgin Islands|0101000020E6100000A36793AA5B2F50C0505DEB923E563240
344|Mali i Dajtit|0101000020E61000003F799619D3F23340E84150C143B14440
346|Mali i Tomorrit|0101000020E610000042CC1DD6F12B3440CC13D2FECD544440
347|National Park Iona|0101000020E61000003D5AC88E62B3284090DE7F706D8030C0
375|Brisbane Water|0101000020E61000001AD7E02BA2E8624048E2E57C00C240C0
378|Crowdy Bay|0101000020E6100000C41DB9F5CA17634090ACBB8614C63FC0
379|Dorrigo|0101000020E610000084C50E9C3D1A6340302927C8325A3EC0
382|Mount Imlay|0101000020E610000099824A6AA0B76240E0C8315C349442C0
348|National Park Quiçãma|0101000020E6100000283129B15C322B40308369183E8A23C0
384|Hat Head|0101000020E6100000E6B6CEDBC4206340700C7DAD14173FC0
426|Southwood|0101000020E61000002A030F0965C4624020E6B6962CD03BC0
349|National Park Cameia|0101000020E61000004987A21452863540D096395D16B327C0
393|Kakadu|0101000020E6100000FA98CCF228916040E09CC18677142AC0
428|Blackdown Tableland|0101000020E61000004D2A9E8F47A3624038ABEF364ED237C0
431|Cape Upstart|0101000020E6100000DD287C9FBA796240C8C4F67ED6BF33C0
432|Eurimbula|0101000020E610000090CC218450F7624038D7D089E13338C0
350|National Park Bicuar|0101000020E6100000F0B4B21DFA7F2D40009B728577912EC0
351|National Park Cangandala|0101000020E6100000F8367556CEC43040F0764A07EB9F23C0
354|Sturt|0101000020E6100000A6199AB087A76140B825BB50FB293DC0
356|Blue Mountains|0101000020E610000076225AB39ACF6240147BC2B43DCF40C0
358|Mallee Cliffs|0101000020E6100000A2303EEB80D4614030D0C135621B41C0
373|Cocoparra|0101000020E610000044FBA9612847624064D3A2B5D70F41C0
374|Weddin Mountains|0101000020E6100000FA8E17168F7F6240889C3741C0F840C0
387|Bald Rock|0101000020E610000058F97AF4BF016340008DE2407BD73CC0
389|Murramarang|0101000020E61000002110B57985C962405C557A2999CA41C0
400|Staaten River|0101000020E610000050195B6F95D76140F8A4A3DA2F9A30C0
403|Carnarvon|0101000020E61000003F3F628FC2826240189E68C1450939C0
404|Bowling Green Bay|0101000020E6100000FE95098A7F5E624028B7D605668133C0
433|Isla Gorge|0101000020E61000002A235570C1BD6240402DD9B3522439C0
434|Forty Mile Scrub|0101000020E6100000AC6E07B2631B6240D01F613EB71832C0
459|Snake Range|0101000020E610000074CAFCF8A272624088E4DA5FDC0938C0
435|Castle Tower|0101000020E6100000E218CC9CF1E96240A00A0EA15D2B38C0
436|Mazeppa|0101000020E6100000C601C2FF6B696240404DAE94AB3936C0
462|Hull River|0101000020E6100000640A3AB6BC41624068EC4E14F4FA31C0
495|Calpatanna Waterhole|0101000020E6100000CE40C2760FCB604084C5750D6C7F40C0
440|Mount Walsh|0101000020E61000002E7236F304026340409B2E47EC9F39C0
441|Porcupine Gorge|0101000020E61000000660BB27660E6240F8125F50136334C0
442|Mount Aberdeen|0101000020E61000005C7E0C80867D624060DBA5AA1C3334C0
444|Barron Gorge|0101000020E61000002BA2D35424356240B85EDC6499D930C0
446|Magnetic Island|0101000020E6100000B88567D1B05A624030912692B32333C0
533|Hattah - Kulkyne National Park|0101000020E61000001A8CA98ABBCB6140605AA8835C5641C0
454|Russell River|0101000020E6100000695B4F51663F6240084F257FC74F31C0
463|Grey Peaks|0101000020E61000008E6DCF3F9E3A6240E0354B2F15EE30C0
474|Elliot Price|0101000020E6100000A075D38E52296140D8C754317DC83CC0
475|Ikara-Flinders Ranges|0101000020E610000022A4A90DD3596140B0F541F92F4C3FC0
535|Mount Buffalo National Park|0101000020E610000092A2DF42B9586240E032D998475942C0
541|Coopracambra National Park|0101000020E610000060C2421DEFAA6240EC71C7AA07AD42C0
482|Cape Gantheaume|0101000020E610000042C587D0472D61402014E4C574F541C0
485|Lincoln|0101000020E610000041F40A1F8EFB6040E49A4EBA466B41C0
487|Messent|0101000020E6100000F830B136C0786140C802DC75140742C0
488|Canunda|0101000020E6100000B071E5BA1E8961405CAD4A1D82DB42C0
489|Mount Remarkable|0101000020E610000051DCFD6232426140C4043911056440C0
491|Innes|0101000020E610000032FC4150641C6140AC173B5B0C9D41C0
492|Warrenben|0101000020E61000004C41C2C66921614030C94823CA8F41C0
493|Mount Boothby|0101000020E6100000EA4650EACE786140FC7B1BEE45EB41C0
494|Gum Lagoon|0101000020E610000040D3260CD2806140FC8AF5D3802342C0
496|Karte|0101000020E61000005E41309AC8966140E046CAA90C8B41C0
498|Peebinga|0101000020E610000050763B090A9A61402CB91602C07D41C0
499|Carcuma|0101000020E6100000027A38DE9682614020DCB32D51CF41C0
500|Pooginook|0101000020E6100000F423A87C5883614028FCF460110D41C0
543|Kinglake National Park|0101000020E6100000BA79587B952662409C31018F0DB542C0
544|Holey Plains|0101000020E61000008F009117A85D624074EA286C5E1D43C0
545|Mount Samaria|0101000020E610000045EBEE559D42624098673ADB867142C0
503|Nuyts Archipelago|0101000020E610000002BAB52DACB260401CF951DA292240C0
510|Deep Creek|0101000020E610000062C45C9B134861407019CBE208D141C0
514|Whyalla-Cowled's Landing|0101000020E610000080898EEBC6306140B840B2AEA18E40C0
517|Ben Lomond|0101000020E6100000C6EEE823DB746240ACAB1575BFC744C0
522|Maria Island|0101000020E6100000F887A2723783624078A8A5002B5345C0
525|Narawntapu|0101000020E6100000BA61E416F854624004023F6B7D8E44C0
527|Rocky Cape|0101000020E6100000A6B38F559E306240D0CC44B8197344C0
528|Big Desert|0101000020E610000015849BF2E0A3614088036CC385D241C0
529|Wyperfeld National Park|0101000020E6100000026F984CA4B96140D48363D879CC41C0
546|Brisbane Ranges National Park|0101000020E61000009A4B6CF8D1086240F820DBF73DDF42C0
550|Alfred National Park|0101000020E610000052C8C940D4AB6240300781F555C842C0
600|Chobe|0101000020E61000007FF096D9FD653840E0FE9095179132C0
555|Collier Range|0101000020E6100000AD339F389BC45D40C0E6F174E1A638C0
